county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
Wilkinson,Georgia,33883,34285,35204,83,1.2,2.7,140
Worth,Georgia,31071,32540,34380,97,4.7,5.7,14
Hawaii,Hawaii,51032,53145,55418,--,4.1,4.3,--
Honolulu,Hawaii,54860,57049,59608,1,4,4.5,2
Kauai,Hawaii,44738,47084,49416,2,5.2,5,1
Maui + Kalawao,Hawaii,45194,47322,49040,3,4.7,3.6,4
Idaho,Idaho,40670,42094,43901,--,3.5,4.3,--
Ada,Idaho,48641,50699,52958,2,4.2,4.5,16
Bannock,Idaho,35620,36984,38160,24,3.8,3.2,35
Bear Lake,Idaho,37331,37484,38493,22,0.4,2.7,37
Benewah,Idaho,35421,35691,37383,28,0.8,4.7,13
Bingham,Idaho,33495,34615,36335,33,3.3,5,10
Blaine,Idaho,98311,107468,113780,1,9.3,5.9,7
Boise,Idaho,42178,41580,43392,10,-1.4,4.4,20
Bonner,Idaho,38542,39444,41209,14,2.3,4.5,14
Bonneville,Idaho,44272,46236,48287,5,4.4,4.4,17
Boundary,Idaho,33709,34792,36934,29,3.2,6.2,4
Camas,Idaho,36507,36314,38600,21,-0.5,6.3,3
Canyon,Idaho,30254,31422,32680,43,3.9,4,25
Caribou,Idaho,37372,37788,39146,18,1.1,3.6,30
Cassia,Idaho,43861,42790,45220,7,-2.4,5.7,8
Clearwater,Idaho,33130,33881,34506,41,2.3,1.8,43
Fremont (includes Yellowstone National Park),Idaho,34533,35350,36908,30,2.4,4.4,19
Gem,Idaho,35229,36200,37796,26,2.8,4.4,18
Gooding,Idaho,53588,53995,52875,3,0.8,-2.1,44
Jerome,Idaho,36656,36699,38184,23,0.1,4,24
Kootenai,Idaho,41370,43129,44987,8,4.3,4.3,21
Latah,Idaho,38558,39454,41341,13,2.3,4.8,12
Lemhi,Idaho,39193,39790,41565,12,1.5,4.5,15
Lewis,Idaho,44733,43517,47267,6,-2.7,8.6,1
Minidoka,Idaho,36981,36149,38159,25,-2.2,5.6,9
Nez Perce,Idaho,40978,42907,44397,9,4.7,3.5,32
Oneida,Idaho,33714,33614,35234,37,-0.3,4.8,11
Owyhee,Idaho,34569,32319,33372,42,-6.5,3.3,34
Payette,Idaho,37642,38125,38933,20,1.3,2.1,42
Power,Idaho,34184,35757,36667,32,4.6,2.5,39
Shoshone,Idaho,35949,34669,35537,36,-3.6,2.5,40
Teton,Idaho,35994,37567,39858,15,4.4,6.1,6
Twin Falls,Idaho,37089,38230,39623,16,3.1,3.6,29
Valley,Idaho,45936,47866,49630,4,4.2,3.7,28
Illinois,Illinois,52273,53943,56839,--,3.2,5.4,--
Alexander,Illinois,32205,32888,34713,100,2.1,5.5,44
Bond,Illinois,34461,34896,37653,90,1.3,7.9,6
Brown,Illinois,31696,33448,35166,99,5.5,5.1,55
Bureau,Illinois,40607,41897,43931,47,3.2,4.9,64
Cass,Illinois,38924,40212,42649,60,3.3,6.1,34
Champaign,Illinois,42875,43106,45328,36,0.5,5.2,53
Christian,Illinois,38314,39756,41724,68,3.8,5,62
Clinton,Illinois,43993,45539,48253,24,3.5,6,37
Coles,Illinois,37642,39098,40995,76,3.9,4.9,65
Cumberland,Illinois,40328,41910,43778,48,3.9,4.5,73
De Witt,Illinois,45444,45308,47205,29,-0.3,4.2,82
DuPage,Illinois,66522,69106,72889,2,3.9,5.5,45
Edgar,Illinois,38261,40549,42184,65,6,4,85
Edwards,Illinois,36208,39111,40331,79,8,3.1,91
Ford,Illinois,51782,49742,52879,11,-3.9,6.3,30
Gallatin,Illinois,42066,43830,44602,43,4.2,1.8,97
Grundy,Illinois,47503,49480,51657,12,4.2,4.4,77
Hardin,Illinois,35739,36658,37155,93,2.6,1.4,98
Henderson,Illinois,40440,41657,41951,66,3,0.7,99
Iroquois,Illinois,41650,41329,43258,52,-0.8,4.7,68
Jersey,Illinois,38665,39720,41522,70,2.7,4.5,70
Jo Daviess,Illinois,45749,46417,49061,20,1.5,5.7,42
Kane,Illinois,47188,48814,51333,14,3.4,5.2,52
Kankakee,Illinois,38347,39602,41290,73,3.3,4.3,80
Kendall,Illinois,45910,46966,49033,21,2.3,4.4,76
Knox,Illinois,37642,37806,39471,83,0.4,4.4,75
LaSalle,Illinois,41221,42616,44632,42,3.4,4.7,67
Livingston,Illinois,43580,42784,44775,41,-1.8,4.7,69
McDonough,Illinois,36599,37161,38692,84,1.5,4.1,83
McHenry,Illinois,51524,52999,55720,7,2.9,5.1,56
McLean,Illinois,46727,47247,49180,19,1.1,4.1,84
Macoupin,Illinois,37884,38899,41607,69,2.7,7,19
Mason,Illinois,39443,40016,42510,63,1.5,6.2,31
Massac,Illinois,36754,37218,38360,87,1.3,3.1,92
Menard,Illinois,41932,43943,47233,28,4.8,7.5,12
Mercer,Illinois,42306,43836,45046,39,3.6,2.8,95
Moultrie,Illinois,51336,57703,62718,3,12.4,8.7,3
Ogle,Illinois,43246,44393,46755,32,2.7,5.3,49
Peoria,Illinois,47351,47963,51135,16,1.3,6.6,24
Piatt,Illinois,49466,50502,54258,8,2.1,7.4,14
Richland,Illinois,39105,39881,42555,61,2,6.7,21
Rock Island,Illinois,41710,43156,44802,40,3.5,3.8,87
Sangamon,Illinois,44852,46187,48891,22,3,5.9,39
Schuyler,Illinois,41369,42046,44200,45,1.6,5.1,57
Stark,Illinois,40162,41674,42877,55,3.8,2.9,94
Stephenson,Illinois,40930,40897,42722,58,-0.1,4.5,72
Tazewell,Illinois,44684,44855,47862,26,0.4,6.7,22
Vermilion,Illinois,36383,37461,39481,82,3,5.4,47
Wabash,Illinois,40601,42162,43571,50,3.8,3.3,89
Whiteside,Illinois,40247,42325,44016,46,5.2,4,86
Will,Illinois,48781,50449,52953,9,3.4,5,60
Williamson,Illinois,41324,42427,44509,44,2.7,4.9,63
Winnebago,Illinois,39985,41579,43742,49,4,5.2,51
Woodford,Illinois,49804,49424,52928,10,-0.8,7.1,17
Indiana,Indiana,43741,45225,47149,--,3.4,4.3,--
Allen,Indiana,43216,44182,46288,21,2.2,4.8,30
Bartholomew,Indiana,46205,47987,49922,9,3.9,4,58
Blackford,Indiana,35685,36463,37677,83,2.2,3.3,80
Daviess,Indiana,38100,40253,42064,47,5.7,4.5,41
Dearborn,Indiana,43963,45302,47454,15,3,4.8,31
Dubois,Indiana,51795,54443,56488,3,5.1,3.8,66
Elkhart,Indiana,41959,45451,46816,17,8.3,3,83
Fountain,Indiana,37532,38205,41010,55,1.8,7.3,4
Gibson,Indiana,41973,43743,45385,24,4.2,3.8,67
Harrison,Indiana,39490,40438,41862,49,2.4,3.5,74
Hendricks,Indiana,46316,47740,49641,10,3.1,4,61
Huntington,Indiana,38580,40203,42292,44,4.2,5.2,21
Jay,Indiana,36001,37181,39321,68,3.3,5.8,14
Jennings,Indiana,36071,37482,38959,74,3.9,3.9,62
Lagrange,Indiana,37117,41176,42146,46,10.9,2.4,90
LaPorte,Indiana,39048,40561,42527,43,3.9,4.8,27
Miami,Indiana,32374,33457,35039,90,3.3,4.7,34
Noble,Indiana,36474,38037,39798,66,4.3,4.6,36
Ohio,Indiana,37923,38572,40714,57,1.7,5.6,16
Parke,Indiana,34365,35478,36345,87,3.2,2.4,88
Porter,Indiana,48015,50615,53130,6,5.4,5,25
Posey,Indiana,44633,46946,48180,12,5.2,2.6,85
Ripley,Indiana,38648,40265,41817,51,4.2,3.9,64
Rush,Indiana,42714,44641,46945,16,4.5,5.2,23
St. Joseph,Indiana,43893,46068,47673,14,5,3.5,76
Spencer,Indiana,40431,42970,43971,31,6.3,2.3,91
Starke,Indiana,32797,34141,35347,88,4.1,3.5,73
Steuben,Indiana,38876,41161,43231,38,5.9,5,24
Sullivan,Indiana,32841,33765,35181,89,2.8,4.2,49
Switzerland,Indiana,28048,29016,30827,92,3.5,6.2,9
Tippecanoe,Indiana,35479,36852,39169,70,3.9,6.3,7
Tipton,Indiana,43050,43742,46610,20,1.6,6.6,6
Vanderburgh,Indiana,42628,44004,45893,22,3.2,4.3,47
Vermillion,Indiana,35929,37312,39411,67,3.8,5.6,15
Vigo,Indiana,35940,37443,38970,73,4.2,4.1,54
Warrick,Indiana,51918,54188,56476,4,4.4,4.2,48
Wells,Indiana,39351,40576,42730,41,3.1,5.3,20
Whitley,Indiana,41487,42586,44528,27,2.6,4.6,37
Iowa,Iowa,46431,47458,50124,--,2.2,5.6,--
Adair,Iowa,47708,47956,51989,35,0.5,8.4,19
Allamakee,Iowa,43212,43516,45745,62,0.7,5.1,71
Appanoose,Iowa,35518,36659,38478,97,3.2,5,75
Audubon,Iowa,42987,45086,48279,54,4.9,7.1,32
Black Hawk,Iowa,40995,42221,44764,69,3,6,57
Bremer,Iowa,46051,47251,49405,49,2.6,4.6,85
Buchanan,Iowa,42683,44342,46491,60,3.9,4.8,79
Buena Vista,Iowa,43083,45247,50000,45,5,10.5,6
Cedar,Iowa,49431,50258,53356,21,1.7,6.2,54
Cerro Gordo,Iowa,51227,49935,53342,22,-2.5,6.8,39
Chickasaw,Iowa,56206,53786,58354,8,-4.3,8.5,18
Davis,Iowa,33170,34351,36921,98,3.6,7.5,27
Des Moines,Iowa,49673,48163,50515,41,-3,4.9,77
Dickinson,Iowa,54780,56603,58592,7,3.3,3.5,93
Dubuque,Iowa,45084,46242,49085,50,2.6,6.1,55
Emmet,Iowa,40404,43177,43501,82,6.9,0.8,99
Guthrie,Iowa,49254,49042,52694,31,-0.4,7.4,28
Ida,Iowa,48247,49798,52758,28,3.2,5.9,59
Keokuk,Iowa,41597,41300,44509,71,-0.7,7.8,23
Kossuth,Iowa,48090,50641,52992,27,5.3,4.6,83
Linn,Iowa,49592,50374,52743,29,1.6,4.7,82
Louisa,Iowa,37414,38603,41038,94,3.2,6.3,51
Lucas,Iowa,39444,39586,42126,88,0.4,6.4,50
Lyon,Iowa,54568,59337,60892,5,8.7,2.6,97
Mahaska,Iowa,39176,40057,43914,76,2.2,9.6,9
Monona,Iowa,45989,46535,48118,56,1.2,3.4,94
Muscatine,Iowa,44083,45111,47553,57,2.3,5.4,69
O'Brien,Iowa,54283,56110,59835,6,3.4,6.6,47
Page,Iowa,38741,38926,41629,91,0.5,6.9,38
Palo Alto,Iowa,48337,50023,53056,26,3.5,6.1,56
Plymouth,Iowa,55074,54505,57589,9,-1,5.7,66
Pocahontas,Iowa,51400,46807,52699,30,-8.9,12.6,3
Pottawattamie,Iowa,42593,43184,45604,64,1.4,5.6,68
Poweshiek,Iowa,42708,44216,46950,58,3.5,6.2,53
Ringgold,Iowa,39479,42744,45714,63,8.3,6.9,37
Sac,Iowa,48148,50498,56931,12,4.9,12.7,2
Sioux,Iowa,48125,52054,56029,15,8.2,7.6,26
Story,Iowa,39179,39976,41885,89,2,4.8,80
Tama,Iowa,42296,43132,46483,61,2,7.8,24
Wapello,Iowa,35927,36928,39002,96,2.8,5.6,67
Winneshiek,Iowa,46455,46862,50175,44,0.9,7.1,33
Woodbury,Iowa,41700,41570,43988,74,-0.3,5.8,62
Wright,Iowa,49090,51704,56451,14,5.3,9.2,12
Kansas,Kansas,47510,48869,51471,--,2.9,5.3,--
Anderson,Kansas,39988,36673,38539,96,-8.3,5.1,69
Atchison,Kansas,34663,35796,37436,101,3.3,4.6,74
Barber,Kansas,38206,38154,42497,70,-0.1,11.4,15
Barton,Kansas,44001,44565,48036,34,1.3,7.8,27
Bourbon,Kansas,38979,40056,42697,67,2.8,6.6,42
Chase,Kansas,43881,43961,46385,43,0.2,5.5,59
Chautauqua,Kansas,38439,38320,40661,84,-0.3,6.1,48
Cloud,Kansas,35103,36765,38144,98,4.7,3.8,87
Coffey,Kansas,53049,49455,54074,18,-6.8,9.3,18
Comanche,Kansas,40131,43104,45954,46,7.4,6.6,41
Cowley,Kansas,36750,36963,38707,94,0.6,4.7,73
Doniphan,Kansas,35827,36703,37405,102,2.4,1.9,102
Elk,Kansas,39373,38382,40899,83,-2.5,6.6,43
Ellis,Kansas,43265,43805,46465,42,1.2,6.1,49
Ellsworth,Kansas,35495,39718,43316,61,11.9,9.1,22
Finney,Kansas,40073,40772,43172,62,1.7,5.9,53
Geary,Kansas,44189,46894,48907,31,6.1,4.3,78
Gove,Kansas,61795,54352,58539,11,-12,7.7,29
Gray,Kansas,71412,66009,66429,5,-7.6,0.6,103
Greeley,Kansas,48200,49718,59191,10,3.1,19.1,3
Greenwood,Kansas,39716,40495,42708,66,2,5.5,60
Harper,Kansas,44200,44555,47024,38,0.8,5.5,58
Harvey,Kansas,39397,39753,42057,77,0.9,5.8,55
Haskell,Kansas,64115,53854,52783,20,-16,-2,105
Hodgeman,Kansas,46441,44405,49176,30,-4.4,10.7,16
Jewell,Kansas,46616,45119,48428,33,-3.2,7.3,34
Kearny,Kansas,52688,52343,56466,14,-0.7,7.9,26
Kingman,Kansas,43628,41770,42572,68,-4.3,1.9,101
Labette,Kansas,38866,39725,42127,74,2.2,6,50
Lane,Kansas,83280,87016,93628,1,4.5,7.6,31
Leavenworth,Kansas,40204,41239,42851,64,2.6,3.9,86
McPherson,Kansas,46987,47518,51016,24,1.1,7.4,33
Meade,Kansas,56622,58921,64262,6,4.1,9.1,21
Morris,Kansas,42489,42789,42424,71,0.7,-0.9,104
Morton,Kansas,38473,41977,43644,58,9.1,4,84
Nemaha,Kansas,50967,52071,54111,17,2.2,3.9,85
Neosho,Kansas,36139,37394,39485,90,3.5,5.6,56
Ness,Kansas,45570,50864,57310,12,11.6,12.7,12
Norton,Kansas,40703,40019,42080,75,-1.7,5.2,68
Osage,Kansas,38939,39172,40102,87,0.6,2.4,97
Osborne,Kansas,43294,43447,46018,45,0.4,5.9,52
Ottawa,Kansas,39849,39515,41201,81,-0.8,4.3,81
Pawnee,Kansas,43728,37888,39223,91,-13.4,3.5,90
Pottawatomie,Kansas,52213,50834,52564,21,-2.6,3.4,92
Pratt,Kansas,44013,44202,47327,36,0.4,7.1,38
Rawlins,Kansas,48787,47608,55821,15,-2.4,17.3,4
Reno,Kansas,37198,39347,41111,82,5.8,4.5,76
Republic,Kansas,46784,43127,44273,56,-7.8,2.7,96
Rice,Kansas,40810,39592,42788,65,-3,8.1,24
Riley,Kansas,39854,40847,42566,69,2.5,4.2,82
Rooks,Kansas,36635,36736,42363,73,0.3,15.3,6
Seward,Kansas,35569,35581,38621,95,0,8.5,23
Shawnee,Kansas,43704,44478,46861,39,1.8,5.4,61
Sheridan,Kansas,50502,47346,50706,26,-6.2,7.1,37
Sherman,Kansas,38263,39484,45156,51,3.2,14.4,8
Smith,Kansas,42880,42348,45484,49,-1.2,7.4,32
Stafford,Kansas,42681,40531,44534,52,-5,9.9,17
Stanton,Kansas,48489,52848,63897,7,9,20.9,1
Stevens,Kansas,35448,36189,38970,92,2.1,7.7,30
Sumner,Kansas,38786,38969,40027,88,0.5,2.7,95
Trego,Kansas,43764,44683,50889,25,2.1,13.9,9
Wabaunsee,Kansas,47495,48839,50534,27,2.8,3.5,91
Wallace,Kansas,47595,50115,56954,13,5.3,13.6,11
Wichita,Kansas,76510,58829,70142,3,-23.1,19.2,2
Wilson,Kansas,41465,40967,43433,60,-1.2,6,51
Woodson,Kansas,32739,33592,35561,104,2.6,5.9,54
Wyandotte,Kansas,31158,32157,33315,105,3.2,3.6,89
Kentucky,Kentucky,39638,40999,42458,--,3.4,3.6,--
Ballard,Kentucky,35574,37109,37939,39,4.3,2.2,92
Barren,Kentucky,34415,35644,36633,50,3.6,2.8,72
Bath,Kentucky,29412,29974,30496,109,1.9,1.7,107
Bell,Kentucky,27220,28620,29612,114,5.1,3.5,39
Boyd,Kentucky,36034,37222,39746,29,3.3,6.8,1
Boyle,Kentucky,35612,36537,37780,42,2.6,3.4,46
Bracken,Kentucky,33738,35226,36758,48,4.4,4.3,17
Breathitt,Kentucky,31128,32834,33753,77,5.5,2.8,68
Breckinridge,Kentucky,32224,33614,34461,69,4.3,2.5,81
Bullitt,Kentucky,38459,39577,40935,23,2.9,3.4,44
Caldwell,Kentucky,33256,33639,35066,64,1.2,4.2,20
Calloway,Kentucky,33359,34755,35722,60,4.2,2.8,69
Campbell,Kentucky,44797,46864,49015,6,4.6,4.6,14
Carlisle,Kentucky,42165,42142,43860,13,-0.1,4.1,26
Carter,Kentucky,28791,30012,30847,105,4.2,2.8,70
Casey,Kentucky,29508,30367,31205,99,2.9,2.8,73
Elliott,Kentucky,21036,21934,22481,120,4.3,2.5,82
Estill,Kentucky,29982,30858,31555,92,2.9,2.3,89
Fleming,Kentucky,31498,32796,33537,81,4.1,2.3,88
Garrard,Kentucky,32627,33723,34363,71,3.4,1.9,103
Graves,Kentucky,35674,37455,38130,36,5,1.8,105
Grayson,Kentucky,31634,32558,33580,80,2.9,3.1,58
Green,Kentucky,32496,34220,34570,68,5.3,1,114
Greenup,Kentucky,36992,38541,40933,24,4.2,6.2,2
Harlan,Kentucky,28429,29626,30877,103,4.2,4.2,21
Hickman,Kentucky,38455,42615,44912,10,10.8,5.4,7
Hopkins,Kentucky,37382,38817,39236,31,3.8,1.1,113
Jessamine,Kentucky,42908,42372,43470,15,-1.2,2.6,77
Kenton,Kentucky,53786,55101,57982,2,2.4,5.2,9
Knott,Kentucky,28391,29082,30118,112,2.4,3.6,36
Larue,Kentucky,34281,35481,36525,52,3.5,2.9,65
Laurel,Kentucky,31742,33066,33921,75,4.2,2.6,78
Leslie,Kentucky,30260,31632,32724,86,4.5,3.5,43
Letcher,Kentucky,28658,29386,30852,104,2.5,5,11
McCracken,Kentucky,48142,46442,48383,7,-3.5,4.2,23
McCreary,Kentucky,23996,25026,25835,119,4.3,3.2,54
Magoffin,Kentucky,28336,29452,30537,108,3.9,3.7,32
Menifee,Kentucky,28983,29734,30305,110,2.6,1.9,101
Metcalfe,Kentucky,29392,30660,31512,93,4.3,2.8,71
Muhlenberg,Kentucky,32129,33608,33892,76,4.6,0.8,116
Nelson,Kentucky,40958,40970,42442,18,0,3.6,35
Nicholas,Kentucky,32509,33752,33999,73,3.8,0.7,117
Oldham,Kentucky,58040,60029,63039,1,3.4,5,10
Owsley,Kentucky,29731,30801,31486,95,3.6,2.2,93
Pendleton,Kentucky,46462,44473,43757,14,-4.3,-1.6,119
Powell,Kentucky,29869,31108,31498,94,4.1,1.3,111
Robertson,Kentucky,31443,31779,32815,85,1.1,3.3,52
Rockcastle,Kentucky,29133,30574,31176,100,4.9,2,100
Rowan,Kentucky,29488,29803,30777,106,1.1,3.3,51
Simpson,Kentucky,36473,37757,38189,35,3.5,1.1,112
Todd,Kentucky,35689,37222,38508,34,4.3,3.5,42
Trigg,Kentucky,35511,36180,36495,53,1.9,0.9,115
Trimble,Kentucky,33655,35388,36565,51,5.1,3.3,49
Wolfe,Kentucky,29541,30461,31083,102,3.1,2,99
Louisiana,Louisiana,42726,43938,46242,--,2.8,5.2,--
Acadia,Louisiana,34236,35481,37304,46,3.6,5.1,23
Ascension,Louisiana,46685,47798,49829,7,2.4,4.2,44
Assumption,Louisiana,40358,43897,46788,15,8.8,6.6,6
Avoyelles,Louisiana,35099,36529,37911,43,4.1,3.8,52
Beauregard,Louisiana,39451,41126,42782,19,4.2,4,47
Bienville,Louisiana,33422,35759,38493,42,7,7.6,2
Bossier,Louisiana,41722,41876,44149,18,0.4,5.4,18
Caddo,Louisiana,44851,45384,48413,12,1.2,6.7,5
Calcasieu,Louisiana,44604,46162,48968,10,3.5,6.1,8
Cameron,Louisiana,43152,47476,50280,5,10,5.9,11
Catahoula,Louisiana,31982,33413,33655,56,4.5,0.7,63
Claiborne,Louisiana,32376,33643,35240,51,3.9,4.7,32
Concordia,Louisiana,30098,31599,32942,59,5,4.3,43
De Soto,Louisiana,37155,38585,40584,30,3.8,5.2,21
East Baton Rouge,Louisiana,47689,48855,51386,3,2.4,5.2,22
East Carroll,Louisiana,34313,36315,36010,50,5.8,-0.8,64
East Feliciana,Louisiana,39815,40843,42771,20,2.6,4.7,33
Evangeline,Louisiana,31600,32634,33671,55,3.3,3.2,58
Iberia,Louisiana,36278,37119,39270,36,2.3,5.8,13
Iberville,Louisiana,37808,39569,41423,25,4.7,4.7,35
Jefferson Davis,Louisiana,38091,39905,42334,21,4.8,6.1,7
Lafourche,Louisiana,43008,44136,47096,13,2.6,6.7,4
Morehouse,Louisiana,37453,37648,38495,41,0.5,2.2,61
Natchitoches,Louisiana,36008,37985,39860,34,5.5,4.9,30
Orleans,Louisiana,48148,49436,52004,2,2.7,5.2,20
Plaquemines,Louisiana,47055,47225,49376,8,0.4,4.6,37
Pointe Coupee,Louisiana,41105,42976,44366,17,4.6,3.2,57
Rapides,Louisiana,43396,44128,46090,16,1.7,4.4,41
Red River,Louisiana,34926,38966,42201,22,11.6,8.3,1
Sabine,Louisiana,31544,33001,34558,52,4.6,4.7,34
St. Bernard,Louisiana,30406,30974,32130,62,1.9,3.7,53
St. Charles,Louisiana,46139,47247,49353,9,2.4,4.5,40
St. Helena,Louisiana,40490,39875,41592,23,-1.5,4.3,42
St. James,Louisiana,43065,46155,48484,11,7.2,5,28
St. John the Baptist,Louisiana,38078,38830,40573,31,2,4.5,39
St. Landry,Louisiana,38789,39179,41191,26,1,5.1,24
St. Martin,Louisiana,35923,35705,37645,44,-0.6,5.4,17
St. Mary,Louisiana,36485,37142,39280,35,1.8,5.8,14
St. Tammany,Louisiana,55434,58848,62366,1,6.2,6,9
Tangipahoa,Louisiana,36690,37474,38974,38,2.1,4,48
Tensas,Louisiana,34363,36060,36630,49,4.9,1.6,62
Terrebonne,Louisiana,39210,39379,41504,24,0.4,5.4,19
Vernon,Louisiana,37530,38756,40729,28,3.3,5.1,27
West Baton Rouge,Louisiana,44986,45169,46976,14,0.4,4,49
West Carroll,Louisiana,33516,34625,36633,48,3.3,5.8,12
West Feliciana,Louisiana,36414,37266,38655,40,2.3,3.7,55
Winn,Louisiana,33688,35068,36698,47,4.1,4.6,36
Maine,Maine,44839,46570,48905,--,3.9,5,--
Androscoggin,Maine,38311,39600,41528,9,3.4,4.9,9
Aroostook,Maine,37648,39387,41241,10,4.6,4.7,12
Kennebec,Maine,41907,43096,44940,7,2.8,4.3,14
Oxford,Maine,35071,36245,37999,16,3.3,4.8,10
Penobscot,Maine,38781,39976,42053,8,3.1,5.2,5
Piscataquis,Maine,35284,36588,38427,14,3.7,5,8
Somerset,Maine,36094,36980,38142,15,2.5,3.1,16
Waldo,Maine,37611,38833,40912,11,3.2,5.4,3
York,Maine,47736,49665,52068,3,4,4.8,11
Maryland,Maryland,59029,60512,63354,--,2.5,4.7,--
Allegany,Maryland,38104,38754,40517,23,1.7,4.5,7
Anne Arundel,Maryland,62866,64519,67363,4,2.6,4.4,11
Baltimore,Maryland,57199,58638,61556,9,2.5,5,5
Calvert,Maryland,58312,59974,62591,7,2.9,4.4,13
Caroline,Maryland,42905,44788,45906,20,4.4,2.5,23
Cecil,Maryland,44440,45650,47695,17,2.7,4.5,9
Charles,Maryland,53773,54857,57051,13,2,4,19
Dorchester,Maryland,42980,44916,46562,19,4.5,3.7,20
Frederick,Maryland,57697,59455,61869,8,3,4.1,17
Garrett,Maryland,42478,43328,45595,21,2,5.2,3
Harford,Maryland,54868,56436,58841,12,2.9,4.3,16
Prince George's,Maryland,46048,47348,49420,16,2.8,4.4,12
Queen Anne's,Maryland,60105,62287,64810,5,3.6,4.1,18
St. Mary's,Maryland,53482,54446,56820,14,1.8,4.4,14
Wicomico,Maryland,39711,40839,42054,22,2.8,3,22
Worcester,Maryland,55989,58054,60007,11,3.7,3.4,21
Baltimore City,Maryland,47510,48945,51357,15,3,4.9,6
Massachusetts,Massachusetts,65473,68233,71683,--,4.2,5.1,--
Barnstable,Massachusetts,68022,70777,74756,6,4.1,5.6,1
Berkshire,Massachusetts,52595,54135,56503,10,2.9,4.4,11
Bristol,Massachusetts,49676,51710,54089,12,4.1,4.6,10
Dukes,Massachusetts,84691,89082,93726,2,5.2,5.2,6
Essex,Massachusetts,62011,64354,67507,7,3.8,4.9,8
Hampden,Massachusetts,48230,49416,51187,14,2.5,3.6,14
Hampshire,Massachusetts,49395,50857,52984,13,3,4.2,13
Nantucket,Massachusetts,115197,117909,124168,1,2.4,5.3,4
Norfolk,Massachusetts,84259,87474,92285,3,3.8,5.5,2
Suffolk,Massachusetts,71701,77036,81152,5,7.4,5.3,3
Michigan,Michigan,44868,46258,48423,--,3.1,4.7,--
Alcona,Michigan,34987,36624,38375,53,4.7,4.8,43
Alger,Michigan,31621,32245,33767,80,2,4.7,47
Allegan,Michigan,41434,42787,45182,20,3.3,5.6,17
Alpena,Michigan,38373,39510,40985,35,3,3.7,79
Antrim,Michigan,43131,44756,47070,16,3.8,5.2,34
Arenac,Michigan,34986,36085,37369,62,3.1,3.6,81
Baraga,Michigan,30913,31664,33519,81,2.4,5.9,12
Barry,Michigan,42068,43036,44919,23,2.3,4.4,62
Benzie,Michigan,39809,41620,43557,28,4.5,4.7,50
Branch,Michigan,33996,35438,37622,61,4.2,6.2,7
Charlevoix,Michigan,47614,49855,52885,8,4.7,6.1,8
Cheboygan,Michigan,36750,38120,40080,41,3.7,5.1,35
Chippewa,Michigan,31871,32579,34269,76,2.2,5.2,33
Clare,Michigan,32224,32913,34120,78,2.1,3.7,80
Eaton,Michigan,39751,40948,42693,30,3,4.3,66
Genesee,Michigan,38398,39380,41068,34,2.6,4.3,65
Gladwin,Michigan,33887,35674,36874,65,5.3,3.4,82
Gogebic,Michigan,37815,37352,39945,44,-1.2,6.9,2
Grand Traverse,Michigan,45956,48387,50639,9,5.3,4.7,49
Gratiot,Michigan,34828,35599,37834,59,2.2,6.3,5
Hillsdale,Michigan,33623,34569,36598,66,2.8,5.9,10
Houghton,Michigan,35085,35650,37674,60,1.6,5.7,15
Huron,Michigan,42411,43446,45425,19,2.4,4.6,56
Ingham,Michigan,37918,38893,40761,36,2.6,4.8,40
Ionia,Michigan,32131,33339,35273,71,3.8,5.8,13
Iosco,Michigan,34769,36055,37970,57,3.7,5.3,25
Iron,Michigan,41648,42799,44959,22,2.8,5,37
Isabella,Michigan,32907,33638,35501,69,2.2,5.5,18
Kalamazoo,Michigan,45350,46675,48723,12,2.9,4.4,61
Kalkaska,Michigan,32842,33338,34623,75,1.5,3.9,75
Keweenaw,Michigan,43200,45092,47618,13,4.4,5.6,16
Lapeer,Michigan,39676,41744,43679,26,5.2,4.6,52
Leelanau,Michigan,61855,63559,67320,2,2.8,5.9,9
Lenawee,Michigan,36934,37956,39600,46,2.8,4.3,63
Luce,Michigan,29571,30252,31827,82,2.3,5.2,31
Mackinac,Michigan,41293,42130,44457,24,2,5.5,21
Macomb,Michigan,43416,44645,46530,17,2.8,4.2,67
Manistee,Michigan,36080,36867,38814,51,2.2,5.3,29
Marquette,Michigan,37683,38349,40036,42,1.8,4.4,59
Mecosta,Michigan,31343,32527,34252,77,3.8,5.3,26
Menominee,Michigan,39369,41393,43594,27,5.1,5.3,24
Midland,Michigan,47499,58229,60467,3,22.6,3.8,76
Missaukee,Michigan,31603,33883,34972,72,7.2,3.2,83
Montcalm,Michigan,32315,33571,34972,72,3.9,4.2,68
Montmorency,Michigan,35140,35483,37363,63,1,5.3,28
Muskegon,Michigan,36235,37207,39072,48,2.7,5,38
Newaygo,Michigan,35720,36579,38037,54,2.4,4,70
Oakland,Michigan,66667,69410,72741,1,4.1,4.8,41
Oceana,Michigan,35474,36225,37950,58,2.1,4.8,44
Ogemaw,Michigan,31985,33065,35396,70,3.4,7,1
Ontonagon,Michigan,37177,38027,40129,40,2.3,5.5,20
Oscoda,Michigan,31283,32189,33896,79,2.9,5.3,27
Otsego,Michigan,37732,38670,40589,37,2.5,5,39
Presque Isle,Michigan,36257,37515,39004,49,3.5,4,71
Roscommon,Michigan,34606,35282,37141,64,2,5.3,30
